"skill_id","skills","skill_count","avg_salary_for_skills"
0,"sql","398","96435"
181,"excel","256","86419"
1,"python","236","101512"
182,"tableau","230","97978"
5,"r","148","98708"
183,"power bi","110","92324"
186,"sas","63","93707"
7,"sas","63","93707"
196,"powerpoint","58","88316"
185,"looker","49","103855"
188,"word","48","82941"
80,"snowflake","37","111578"
79,"oracle","37","100964"
61,"sql server","35","96191"
74,"azure","34","105400"
76,"aws","32","106440"
192,"sheets","32","84130"
215,"flow","28","98020"
8,"go","27","97267"
22,"vba","24","93845"
199,"spss","24","85293"
97,"hadoop","22","110888"
233,"jira","20","107931"
9,"javascript","20","91805"
195,"sharepoint","18","89027"
